Object ID,Is Public Domain,Artist Gender
399537,TRUE,NA
266933,FALSE,1
272409,FALSE,NA
277930,FALSE,NA
486421,FALSE,NA
291918,TRUE,NA
382044,FALSE,NA
373559,FALSE,NA
282915,FALSE,NA
55064,TRUE,NA
358062,TRUE,NA
481188,FALSE,NA
349831,TRUE,NA
653226,FALSE,NA
358949,TRUE,NA
12798,TRUE,NA
375263,FALSE,NA
285333,FALSE,NA
720472,TRUE,NA
811587,TRUE,NA
263592,FALSE,1
439349,FALSE,NA
483301,FALSE,NA
387206,FALSE,NA
399391,TRUE,NA
364491,TRUE,NA
286095,FALSE,NA
494306,FALSE,NA
264953,TRUE,NA
387666,FALSE,NA
412393,TRUE,NA
291126,FALSE,NA
484985,FALSE,NA
270374,FALSE,NA
348036,TRUE,NA
669303,TRUE,NA
669190,FALSE,NA
493918,FALSE,NA
291912,TRUE,NA
344403,TRUE,NA
11625,TRUE,NA
491769,FALSE,1
777904,FALSE,NA
827154,FALSE,NA
277909,FALSE,NA
707406,FALSE,NA
438727,TRUE,NA
346154,FALSE,NA
377382,FALSE,1
482288,FALSE,NA
433361,FALSE,NA
370475,FALSE,NA
437922,TRUE,NA
51560,FALSE,NA
437608,TRUE,NA
286155,TRUE,NA
333940,TRUE,NA
260815,FALSE,NA
72263,TRUE,NA
435960,TRUE,NA
355643,TRUE,NA
197096,TRUE,NA
57200,TRUE,NA
189247,FALSE,NA
364358,TRUE,NA
49061,TRUE,NA
14317,TRUE,1
276776,FALSE,NA
211494,FALSE,NA
663092,FALSE,NA
272576,FALSE,NA
358010,TRUE,NA
658374,FALSE,NA
280256,FALSE,NA
829319,TRUE,NA
263490,FALSE,NA
260963,FALSE,NA
343590,TRUE,NA
373025,FALSE,NA
376793,TRUE,NA
365130,FALSE,NA
660174,FALSE,NA
406361,FALSE,NA
649569,FALSE,NA
342183,FALSE,NA
63337,TRUE,NA
382344,TRUE,NA
399594,TRUE,NA
728025,FALSE,NA
306786,TRUE,NA
346972,FALSE,1
264140,FALSE,NA
